legislatura,numero,data,titolo,RSSdate,URL
17,994,2021-05-21,"Modifiche all'articolo 5, commi 8, 9 e 15 della legge regionale 12 maggio 2020, n. 9","Fri, 21 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28994%29.NUMDDL%29
17,1013,2021-05-20,Disposizioni in materia di attività di tirocinio e formative degli specializzandi presso le strutture ospedaliere delle Aziende Sanitarie Provinciali.,"Thu, 20 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281013%29.NUMDDL%29
17,1012,2021-05-13,DA INSERIRE TITOLO,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281012%29.NUMDDL%29
17,1011,2021-05-13,"Schema di progetto di legge voto da proporre al Parlamento della Repubblica, ai sensi dell'art.18 dello Statuto della Regione siciliana, recante Delega al Governo per il recepimento delle direttive europee e l'attuazione di altri atti dell'Unione europea -","Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281011%29.NUMDDL%29
17,1007,2021-05-13,"Misure sanzionatorie/amministrative per il contrasto agli incendi boschivi nel territorio siciliano, ai sensi degli artt. 423 (incendio) e 423 bis (incendio boschivo) del Codice Penale.","Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281007%29.NUMDDL%29
17,1006,2021-05-13,Riorganizzazione strutture private accreditate,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281006%29.NUMDDL%29
17,1005,2021-05-13,Norme in favore dei lavoratori emigrati e delle loro famiglie,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281005%29.NUMDDL%29
17,1004,2021-05-13,"Schema di progetto di legge da proporre al Parlamento della Repubblica, ai sensi dell'art. 18 dello Statuto della Regione Siciliana recante Modifica art. 1 del D.L. 27/12/1989, n. 413, convertito con modificazioni in Legge 28/02/1990, n. 3 - Raggiungimento","Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281004%29.NUMDDL%29
17,1003,2021-05-13,Istituzione della giornata del siciliano nel mondo,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281003%29.NUMDDL%29
17,1002,2021-05-13,Esenzione dall'obbligo di presentazione del Documento Unico di Regolarità Contributiva (DURC) per la partecipazione a gare d'appalto pubbliche,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281002%29.NUMDDL%29
17,1001,2021-05-13,"Modifiche all'art. 20 della legge regionale 16 aprile 2003, n.4","Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281001%29.NUMDDL%29
17,1000,2021-05-13,"Disposizioni per la promozione della parità retributiva tra i sessi, il sostegno all'occupazione e all'imprenditoria femminile di qualità, nonché per la valorizzazione delle competenze delle donne","Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281000%29.NUMDDL%29
17,999,2021-05-13,Modifiche alla legge regionale n. 29/1951 in materia di preferenza di genere per l'elezione dei deputati all'Assemblea regionale siciliana.,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28999%29.NUMDDL%29
17,998,2021-05-13,Norme in materia di valorizzazione e riclassificazione del personale non dirigenziale della Regione siciliana,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28998%29.NUMDDL%29
17,997,2021-05-13,Istituzione del servizio di Psicologia di base,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28997%29.NUMDDL%29
17,996,2021-05-13,Interventi assistiti con gli animali. Riabilitazione attraverso l'Ippoterapia e la Pet Therapy,"Thu, 13 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28996%29.NUMDDL%29
17,1010,2021-05-12,"Abrogazione della legge regionale 21 ottobre 2020, n. 24 'norme per la prevenzione ed il trattamento del disturbo da gioco d'azzardo'","Wed, 12 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281010%29.NUMDDL%29
17,1009,2021-05-12,"Norme per il superamento del precariato del comparto agro-forestale e ambientale, acquisizione di nuove competenze. Modifiche ed integrazioni della legge regionale 6 aprile 1996 n. 16 e ss.mm.ii","Wed, 12 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281009%29.NUMDDL%29
17,1008,2021-05-12,"Rimozione, dalla toponomastica dei Comuni della Sicilia, dei nomi di autori di stragi perpetrate conto la popolazione civile da parte di ufficiali garibaldini","Wed, 12 May 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%281008%29.NUMDDL%29
17,993,2021-04-28,Istituzione del Centro di restauro del legno bagnato,"Wed, 28 Apr 2021 00:00:00 +0000",https://w3.ars.sicilia.it/icaro/default.jsp?icaDB=221&icaQuery=%2817.LEGISL+E+%28993%29.NUMDDL%29
